Date,Category,Amount,Description
2026-01-02,Food,450,Groceries at supermarket
2026-01-03,Transport,120,Uber ride
2026-01-05,Bills,1500,Electricity bill
2026-01-07,Shopping,2200,Clothes purchase
2026-01-10,Entertainment,800,Movie tickets
2026-01-12,Health,900,Pharmacy medicines
2026-01-15,Education,2500,Online course fee
2026-01-18,Food,600,Restaurant dinner
2026-01-20,Bills,1400,Internet + phone bill
2026-01-25,Transport,200,Fuel refill
2026-01-28,Entertainment,1200,Concert ticket

2026-02-01,Food,500,Groceries
2026-02-03,Transport,150,Taxi
2026-02-05,Bills,1600,Water bill
2026-02-07,Shopping,1800,Electronics purchase
2026-02-10,Entertainment,600,Streaming subscription
2026-02-12,Health,700,Doctor consultation
2026-02-15,Education,2000,Exam fees
2026-02-18,Food,450,Lunch at cafe
2026-02-20,Bills,1700,Gas bill
2026-02-23,Transport,100,Bus fare
2026-02-26,Shopping,900,Books and stationery

2026-03-02,Food,550,Groceries
2026-03-04,Transport,180,Uber ride
2026-03-06,Bills,1800,Electricity + water
2026-03-08,Shopping,2500,Furniture purchase
2026-03-10,Entertainment,700,Movie night
2026-03-12,Health,800,Pharmacy + checkup
2026-03-15,Education,3000,Course subscription
2026-03-18,Food,650,Restaurant dinner
2026-03-20,Bills,1500,Internet + phone bill
2026-03-23,Transport,220,Fuel refill
2026-03-26,Entertainment,1000,Concert ticket
2026-03-28,Shopping,1200,Clothes + accessories
